job_name                                                    ;walltime  ;nproc_io  ;nprocs    ;nnode     ;nthreads  ;nnode_fc  ;ntask_fc  ;nopmp_fc  ;nnode_io  ;ntask_io  ;nopmp_io  ;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMOC1300     ;        60;         0;       256;         8;         4;         8;        32;         4;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMOC1300     ;        60;         0;       256;         8;         4;         8;        32;         4;         0;         0;         0;
GM_FCST_HYD_EUL_VFD_ADIAB_TL031U                            ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCST_HYD_SL3_VFD_ADIAB_TL031U                            ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCST_HYD_SL2_VFD_ADIAB_EXTCLA_VESL_TL031U                ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCST_HYD_SL2_VFD_ADIAB_SETTLS_VESL_TL031U                ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCST_HYD_SL2_VFD_ADIAB_EXTCLA_XIDT_TL031U                ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCST_HYD_SL2_VFD_ADIAB_SETTLS_XIDT_TL031U                ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCST_HYD_EUL_VFD_ADIAB_TL030S                            ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCTI_HYD_EUL_VFD_ADIAB_TL030S                            ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
GM_FCST_HYD_SL3_VFD_ADIAB_TL030S                            ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
